time_start_sec,draw_time_avg,janky_frames,missed_vsync_count,slow_ui_thread_count,slow_bitmap_uploads_count,slow_issue_draw_commands_count,draw_time_avg_ma,janky_frames_ma
12830,35.44833,0,0,0,0,0,64.11319428571429,0.14285714285714285
12860,27.401987,0,0,0,0,0,57.36312242857142,0.14285714285714285
12890,129.11555,1,0,1,0,1,63.74665671428571,0.2857142857142857
12920,107.815025,1,0,0,0,0,67.27354028571428,0.42857142857142855
12950,98.517494,0,0,0,0,0,73.84409042857143,0.42857142857142855
12980,76.11175,0,0,0,0,0,75.56828614285713,0.2857142857142857
13010,47.855614,0,0,0,0,0,74.60939285714285,0.2857142857142857
13040,20.099762,0,0,0,0,0,72.41674028571428,0.2857142857142857
13070,57.141285,0,0,0,0,0,76.66521142857142,0.2857142857142857
13100,20.731377,0,0,0,0,0,61.181758142857134,0.14285714285714285
13130,124.39734,0,0,0,0,0,63.55066028571428,0.0
13160,94.62631,0,0,0,0,0,62.99477685714286,0.0
13190,121.09487,1,0,0,0,1,69.42093685714285,0.14285714285714285
13220,59.559494,0,0,0,0,0,71.09291971428571,0.14285714285714285
13250,50.8919,0,0,0,0,0,75.49179657142857,0.14285714285714285
13280,95.75704,1,0,1,0,1,81.008333,0.2857142857142857
13310,111.35687,0,0,0,0,0,93.954832,0.2857142857142857
13340,24.623346,0,0,0,0,0,79.70140428571428,0.2857142857142857
13370,28.389214,0,0,0,0,0,70.23896199999999,0.2857142857142857
13400,68.4609,0,0,0,0,0,62.719823428571424,0.14285714285714285
13430,33.613873,1,0,0,0,0,59.01330614285713,0.2857142857142857
13460,97.30005,1,0,1,0,1,65.64304185714285,0.42857142857142855
13490,29.899792,0,0,0,0,0,56.23486357142856,0.2857142857142857
13520,26.818588,0,0,0,0,0,44.15796614285713,0.2857142857142857
13550,100.88505,0,0,0,0,0,55.05249528571428,0.2857142857142857
13580,85.15521,1,0,0,0,1,63.16192328571427,0.42857142857142855
13610,24.415466,0,0,0,0,0,56.869718428571424,0.42857142857142855
13640,31.102585,1,0,0,0,1,56.51096299999999,0.42857142857142855
13670,84.61974,0,0,0,0,0,54.69949014285713,0.2857142857142857
13700,126.90454,0,0,0,0,0,68.55731128571428,0.2857142857142857
13730,100.00623,0,0,0,0,0,79.0126887142857,0.2857142857142857
13760,56.649906,1,0,0,0,1,72.69338242857143,0.42857142857142855
13790,66.30085,0,0,0,0,0,69.99990242857142,0.2857142857142857
13820,95.148094,0,0,0,0,0,80.10456357142856,0.2857142857142857
13850,27.71055,0,0,0,0,0,79.61998714285713,0.14285714285714285
13880,0.0,0,0,0,0,0,67.53145285714285,0.14285714285714285
