time_start_sec,time_end_sec,launch_time,draw_time_avg,draw_time_median,total_frames,total_frames_median,janky_frames,janky_frames_median,janky_ratio,janky_ratio_median,percentile_50_ms,percentile_90_ms,percentile_95_ms,percentile_99_ms,missed_vsync_count,high_input_latency_count,slow_ui_thread_count,slow_bitmap_uploads_count,slow_issue_draw_commands_count
90,120,0,42.856384,12.709472,47,12,15,4,0.37050837,0.26511452,1211,1374,1438,1620,7,0,10,1,8
120,150,0,67.16444,10.375336,197,3,15,2,0.1792945,0.02266289,1989,2006,2010,2053,5,0,9,0,6
150,180,0,15.358566,8.679712,132,21,11,2,0.2532586,0.06420233,1084,1088,1093,1166,3,0,7,0,4
180,210,0,22.57871,9.171676,96,46,14,12,0.142068,0.125,996,1017,1103,1192,4,0,9,0,5
210,240,0,19.392702,6.600081,176,163,8,7,0.2282197,0.042944785,1033,1036,1039,1068,3,0,6,0,2
240,270,0,0.0,0.0,166,11,10,8,0.24937126,0.058914773,1505,1561,1629,1805,5,0,8,0,2
270,300,0,48.10014,8.499598,60,51,12,17,0.14455645,0.12903225,1985,1998,2013,2068,4,0,8,0,4
300,330,0,26.773552,15.166474,106,1,7,0,0.02651749,0.0,1984,1986,1987,1998,2,0,5,0,2
330,360,0,25.730927,8.74445,79,27,9,3,0.072395384,0.08658009,1984,1991,2036,2062,4,0,5,0,2
360,390,0,22.007322,8.945747,135,42,14,4,0.15928036,0.14166668,502,574,590,633,3,0,8,0,6
390,420,0,14.058605,8.217577,54,74,8,11,0.28964883,0.14864865,1003,1012,1035,1101,3,0,6,0,1
420,450,0,16.165253,7.562124,60,36,10,7,0.09627639,0.09876543,1983,2001,2020,2085,5,0,7,0,3
450,480,0,17.739073,7.7417436,37,0,10,0,0.10119047,0.0,2973,2983,3008,3070,3,0,9,0,1
480,510,0,27.144096,14.625026,89,29,13,6,0.16357239,0.10344828,8,40,52,120,5,0,8,1,5
510,540,0,20.91508,7.0727205,94,79,16,16,0.21494004,0.18181819,997,1013,1049,1210,6,0,8,0,8
540,570,0,10.307101,8.38333,66,24,6,5,0.19056967,0.066395804,1493,1533,1539,1572,2,0,4,0,1
570,600,0,17.668547,7.721596,71,1,4,0,0.0253778,0.0,1984,1986,1991,2027,2,0,3,0,1
600,630,0,6.25958,5.388087,103,0,2,0,0.0038684718,0.0,3961,3961,3961,3964,0,0,2,0,0
630,660,0,9.609426,5.238893,80,23,5,4,0.11759274,0.05968254,1490,1513,1524,1568,2,0,4,0,1
660,690,0,11.830528,7.3294005,31,4,3,4,0.23768052,0.07476635,1023,1045,1049,1082,2,0,2,0,0
690,720,0,14.334843,6.751114,101,80,20,11,0.27020964,0.1375,12,31,43,163,12,0,15,0,7
720,750,0,12.891013,6.775544,104,60,9,6,0.05642278,0.07885305,1983,1994,2004,2057,5,0,6,0,2
750,780,0,12.535797,5.723484,73,4,7,1,0.07670418,0.024038462,2478,2494,2516,2534,3,0,5,0,0
780,810,0,10.968916,8.192135,75,0,2,0,0.012523273,0.0,2972,2973,2974,2992,1,0,1,0,0
810,840,0,12.411972,5.507884,173,193,15,18,0.18234813,0.08490566,1000,1049,1059,1106,6,0,10,1,4
840,870,0,15.609696,9.486643,186,33,13,6,0.068985626,0.031034483,1983,1993,2000,2054,4,0,8,0,5
870,900,0,12.169938,8.207902,163,69,12,11,0.07336031,0.025089607,1984,1992,2003,2033,2,0,7,0,4
900,930,0,10.528455,8.095999,94,12,5,1,0.09167149,0.01758794,1986,1989,1994,2028,1,0,3,0,1
930,960,0,13.515574,5.9062166,83,22,6,2,0.25424835,0.09090909,1007,1013,1023,1087,2,0,5,0,1
960,990,0,15.691026,5.95875,138,0,2,0,0.014560441,0.0,2972,2973,2981,2986,1,0,1,0,0
990,1020,0,16.317093,9.053503,73,16,10,2,0.18498738,0.13146552,999,1035,1072,1153,5,0,7,0,3
1020,1050,0,31.853622,10.195031,50,40,6,5,0.07991873,0.125,997,1007,1066,1120,2,0,5,0,2
1050,1080,0,24.58328,7.76189,63,3,10,2,0.18734178,0.088607594,1991,1996,2007,2031,3,0,6,0,2
1080,1110,0,18.566202,10.987634,72,23,7,8,0.1767256,0.15625,998,1016,1025,1103,2,0,5,0,1
1110,1140,0,12.976463,10.130508,37,0,4,0,0.2227027,0.0,2983,2985,2991,3022,2,0,3,0,0
1140,1170,0,16.80998,8.749847,82,0,18,0,0.06699882,0.0,2972,2981,2993,3032,9,0,14,1,5
1170,1200,0,9.7277155,6.206228,29,0,5,0,0.18577188,0.045945946,2504,2522,2550,2648,3,0,4,0,0
1200,1230,0,41.368435,10.645591,78,109,14,7,0.14076756,0.13761468,997,1014,1051,1123,6,0,8,0,6
1230,1260,0,16.217045,9.262527,54,38,12,4,0.24024801,0.11731844,998,1021,1046,1073,3,0,5,0,6
1260,1290,0,14.405788,8.812593,58,9,11,1,0.08396499,0.08695652,1983,2039,2044,2063,2,0,4,0,8
1290,1320,0,21.70512,9.073883,32,14,6,4,0.21333542,0.16661054,998,1050,1066,1102,3,0,4,0,1
1320,1350,0,20.74226,10.6782875,64,1,10,0,0.050386798,0.0,1985,1989,1999,2058,4,0,7,1,2
1350,1380,0,13.888032,7.831833,69,34,8,4,0.09563599,0.025974026,1984,1990,2020,2053,3,0,6,0,1
1380,1410,0,18.517096,8.9740505,56,26,12,14,0.2973554,0.17777778,1002,1042,1080,1140,6,0,9,1,3
1410,1440,0,21.574835,8.34341,31,22,5,1,0.08953257,0.022222223,1984,2020,2031,2082,3,0,4,0,1
1440,1470,0,31.387337,10.666038,134,4,33,2,0.4059556,0.20926517,1004,1014,1030,1069,10,1,21,1,14
1470,1500,0,20.714273,8.155104,75,48,13,15,0.45921054,0.41666666,17,42,51,125,4,0,9,0,3
1500,1530,0,18.597534,8.420066,48,1,8,1,0.2753557,0.071009204,2021,2031,2038,2075,3,0,4,0,2
1530,1560,0,15.763381,7.878808,75,2,2,1,0.12617251,0.010380623,1004,1008,1022,1047,2,0,2,0,0
1560,1590,0,11.0455265,8.783354,170,33,5,3,0.12833956,0.060606062,1000,1009,1016,1044,2,0,4,0,1
1590,1620,0,17.339214,9.083304,58,0,9,0,0.15412334,0.0,2757,2761,2764,2778,2,0,6,0,4
1620,1650,0,14.993068,8.928228,46,48,3,2,0.0568494,0.056724682,831,837,845,886,1,0,3,0,0
1650,1680,0,11.59728,7.631289,62,59,6,5,0.1265689,0.11764706,6,31,60,91,3,0,4,0,1
1680,1710,0,28.893787,7.2645483,63,66,10,5,0.21918912,0.27450982,1006,1031,1065,1182,4,0,8,0,4
1710,1740,0,15.275336,8.941271,130,7,7,0,0.04611389,0.002538071,2478,2484,2495,2522,3,0,5,0,2
1740,1770,0,11.765464,5.4216957,18,2,5,2,0.59250003,0.75,1066,1241,1246,1275,4,0,3,0,1
1770,1800,0,28.45304,7.906496,22,0,1,0,0.03214286,0.0,2972,2975,3008,3030,1,0,1,0,0
1800,1830,0,18.911201,8.07257,96,64,14,7,0.14594075,0.19379845,995,1043,1059,1104,6,0,12,0,2
1830,1860,0,23.83331,8.309345,65,19,6,1,0.07570119,0.028503563,1984,1995,2006,2049,2,0,4,0,1
1860,1890,0,13.37551,10.48779,81,66,19,5,0.10032467,0.07575758,1985,2006,2044,2088,9,0,17,0,3
1890,1920,0,20.452217,7.887225,52,1,3,0,0.04310158,0.0,1984,1995,2004,2030,2,0,2,0,0
1920,1950,0,22.904827,9.486665,42,0,7,0,0.06606481,0.0,2974,2984,2998,3017,3,0,6,0,1
1950,1980,0,18.864298,6.371733,57,30,15,4,0.19119047,0.13333334,997,1038,1088,1190,5,0,12,0,2
1980,2010,0,22.988766,7.854087,170,0,6,0,0.022255782,0.0,2972,2975,3012,3027,2,0,5,0,0
2010,2040,0,16.567503,7.11495,197,0,8,0,0.020834705,0.0,2972,2974,2977,2996,2,0,6,0,2
2040,2070,0,12.881934,7.3106437,56,29,6,3,0.19270734,0.088477366,1491,1502,1506,1559,1,0,3,0,2
2070,2100,0,10.69262,6.3616877,35,22,6,4,0.19112554,0.16666667,1003,1030,1039,1054,3,0,4,0,1
2100,2130,0,15.718502,6.276041,102,39,4,4,0.068446636,0.01055409,1983,1989,2004,2050,2,0,3,0,1
2130,2160,0,25.14444,6.55803,84,40,6,4,0.2965664,0.17906404,524,540,566,626,3,0,5,0,2
2160,2190,0,18.319532,9.651859,69,47,17,9,0.13434817,0.1754386,996,1029,1061,1352,9,0,13,0,3
2190,2220,0,34.769196,8.617243,60,1,11,1,0.27292278,0.18181819,1988,1995,2004,2069,3,0,8,0,4
2220,2250,0,19.099047,8.115125,28,0,3,0,0.06967213,0.0,2972,2985,3001,3051,2,0,2,0,0
2250,2280,0,21.081373,8.288166,155,41,7,10,0.13410339,0.125,995,1058,1076,1134,4,0,5,0,3
2280,2310,0,15.122474,6.197561,64,56,8,2,0.058573686,0.03018996,1984,1991,2000,2066,4,0,6,0,1
2310,2340,0,14.081337,8.394511,138,2,8,2,0.22928016,0.02494331,1035,1037,1039,1056,3,0,7,0,2
2340,2370,0,16.74655,8.674625,76,38,4,4,0.1075801,0.083333336,996,1027,1036,1128,1,0,2,0,1
2370,2400,0,27.757486,10.636315,87,2,12,1,0.19186942,0.059347183,2000,2006,2025,2044,3,0,9,0,1
2400,2430,0,23.302635,9.105774,173,18,10,8,0.1108081,0.050607286,1986,2008,2011,2106,3,0,8,0,4
2430,2460,0,43.968056,9.118817,147,21,9,0,0.057777334,0.0016778524,2478,2489,2498,2600,5,0,6,0,1
2460,2490,0,12.907457,7.242334,199,54,9,3,0.14417116,0.035928145,999,1015,1022,1039,3,0,7,0,1
2490,2520,0,18.90133,7.1914463,36,31,2,3,0.05281944,0.06363636,1983,1987,1996,2007,1,0,1,0,1
2520,2550,0,17.62252,8.324578,95,59,13,8,0.15206203,0.08847217,832,845,856,903,2,0,8,0,3
2550,2580,0,37.495567,8.864102,50,6,9,6,0.4724372,0.27522936,1123,1145,1150,1190,5,0,7,0,3
2580,2610,0,329.01773,395.25888,130,0,12,0,0.24354161,0.0,2806,2808,2817,2828,4,0,9,0,2
2610,2640,0,11.85261,8.027404,130,0,3,0,0.2043077,0.0,2975,2975,2976,2979,0,0,1,0,1
2640,2670,0,20.229372,20.229372,77,0,3,0,0.10885416,0.0,2975,2975,2976,2993,1,0,3,0,0
2670,2700,0,19.203573,18.536566,105,60,6,2,0.03498338,0.033333335,1984,1987,1994,2038,4,0,5,0,1
2700,2730,0,21.980244,7.7428427,61,24,9,7,0.1172564,0.13461539,1984,2021,2065,2140,5,0,8,0,1
2730,2760,0,33.728004,8.780201,52,5,5,1,0.1338195,0.07919192,1999,2041,2054,2095,3,0,4,0,0
2760,2790,0,20.16247,6.960133,84,0,10,0,0.041635223,0.0,2972,2977,2984,3040,5,0,8,0,2
2790,2820,0,18.449032,6.3359947,44,2,2,2,0.41793427,0.056338027,1044,1045,1047,1106,2,0,1,0,0
2820,2850,0,8.449792,6.4373617,93,10,6,1,0.064716555,0.055555556,1983,1995,2000,2023,2,0,4,0,2
2850,2880,0,18.478615,6.4935565,52,20,3,3,0.17612164,0.046511628,1426,1462,1470,1500,2,0,2,0,0
2880,2910,686,17.923933,6.9791994,53,36,6,8,0.13676347,0.1388889,625,667,678,698,3,0,5,0,1
2910,2940,0,28.369484,10.021707,24,18,3,2,0.105050504,0.11111111,1985,2002,2045,2179,2,0,2,0,0
2940,2970,0,25.306063,8.107368,108,13,8,11,0.3035529,0.13253012,1004,1084,1125,1157,4,0,6,0,2
2970,3000,0,31.441519,9.518358,51,42,5,2,0.5142857,0.30952382,57,67,116,146,2,0,3,0,2
3000,3030,0,22.936432,9.805691,113,18,10,5,0.10383393,0.07211927,1490,1510,1532,1582,5,0,7,0,3
3030,3060,0,23.769463,11.893797,248,15,8,3,0.09559908,0.004557885,1983,2001,2047,2132,3,0,7,0,1
3060,3090,0,33.388214,7.177266,56,16,18,10,0.2723846,0.26,1990,2048,2090,2280,9,0,16,1,5
3090,3120,0,37.590607,11.72629,84,68,14,11,0.101121664,0.15486726,1984,1995,2006,2145,5,0,9,0,4
3120,3150,0,14.015423,8.993687,222,19,16,3,0.062428523,0.03733766,1984,1993,2017,2048,7,0,9,0,4
3150,3180,0,34.612057,9.835083,80,26,16,4,0.1171677,0.15384616,1984,2016,2067,2170,6,0,10,0,7
3180,3210,0,18.833641,8.171486,74,0,9,0,0.056980055,0.0,2973,2981,2989,3024,4,0,6,0,2
3210,3240,0,23.375324,8.241913,47,23,9,5,0.17419414,0.2,995,1052,1090,1166,5,0,7,0,1
3240,3270,0,18.520926,6.3612347,95,42,10,7,0.114755966,0.11290322,995,1022,1069,1116,4,0,7,1,3
3270,3300,0,17.514475,8.3638115,73,68,8,6,0.09193515,0.03550296,1984,2014,2027,2123,4,0,5,0,1
3300,3330,0,27.564287,8.60275,99,27,11,11,0.16908172,0.14545454,996,1070,1091,1162,5,0,7,0,4
3330,3360,0,13.201507,8.037146,71,7,5,0,0.058582287,0.0,1983,1998,2005,2034,2,0,4,0,1
3360,3390,0,16.62402,6.1829834,42,9,5,3,0.16840485,0.069767445,1987,2025,2028,2043,1,0,4,0,1
3390,3420,0,10.722732,7.419174,80,82,7,8,0.11069002,0.051282052,996,1009,1021,1071,3,0,4,1,1
3420,3450,0,11.552491,10.6847105,84,1,5,0,0.2482625,0.023744911,2044,2054,2062,2090,2,0,3,0,1
3450,3480,0,32.547802,6.981298,44,15,15,2,0.22756258,0.13636364,999,1027,1075,1159,6,0,13,1,3
3480,3510,0,41.464394,11.344306,43,21,8,4,0.3110526,0.1904762,998,1023,1066,1104,3,0,7,0,1
