time_start_sec,time_end_sec,launch_time,draw_time_avg,draw_time_median,total_frames,total_frames_median,janky_frames,janky_frames_median,janky_ratio,janky_ratio_median,percentile_50_ms,percentile_90_ms,percentile_95_ms,percentile_99_ms,missed_vsync_count,high_input_latency_count,slow_ui_thread_count,slow_bitmap_uploads_count,slow_issue_draw_commands_count
121,151,472002,40.03282,8.538969,9,1,3,0,0.2067285,0.09375,2040,2053,2081,2097,1,0,1,0,2
151,181,0,33.866375,20.900576,0,0,0,0,0.13333334,0.0,3012,3012,3012,3012,0,0,0,0,0
181,211,0,33.43464,25.102184,0,1,0,0,0.35,0.0,2055,2055,2055,2055,0,0,0,0,0
211,241,0,184.50467,17.76794,0,1,0,0,0.4,0.0,2027,2027,2027,2027,0,0,0,0,0
241,271,0,88.57275,29.139162,48,0,41,0,0.17178424,0.0,3969,3971,3972,3977,37,0,41,41,0
271,301,0,52.232845,50.30453,10,0,9,0,0.2969697,0.0,2489,2491,2493,2500,7,0,9,9,1
301,331,0,31.304728,13.9434395,1,0,1,0,0.17142858,0.0,3980,4010,4010,4010,0,0,1,0,0
331,361,0,88.36862,69.359276,0,1,0,0,0.2,0.0,1988,1988,1988,1988,0,0,0,0,0
361,391,0,15.988261,18.569592,0,0,0,0,0.15,0.0,3507,3507,3507,3507,0,0,0,0,0
391,421,0,156.63498,12.029511,1,1,0,0,0.26666668,0.0,1001,1005,1005,1005,0,0,0,0,0
421,451,0,51.02405,23.625809,0,1,0,0,0.4,0.0,2037,2037,2037,2037,0,0,0,0,0
451,481,0,112.20826,112.20826,0,0,0,0,0.1,0.0,3981,3981,3981,3981,0,0,0,0,0
481,511,0,12.025549,12.025549,1,1,0,1,0.5,0.5,1040,1042,1042,1042,0,0,0,0,0
511,541,0,40.607227,19.096783,1,1,0,1,0.5,0.5,1003,1003,1003,1003,0,0,0,0,0
541,571,0,13.957962,14.870035,0,0,0,0,0.2,0.0,2482,2482,2482,2482,0,0,0,0,0
571,601,0,15.157625,13.386017,0,0,0,0,0.2,0.0,2974,2974,2974,2974,0,0,0,0,0
