time_start_sec,time_end_sec,launch_time,draw_time_avg,draw_time_median,total_frames,total_frames_median,janky_frames,janky_frames_median,janky_ratio,janky_ratio_median,percentile_50_ms,percentile_90_ms,percentile_95_ms,percentile_99_ms,missed_vsync_count,high_input_latency_count,slow_ui_thread_count,slow_bitmap_uploads_count,slow_issue_draw_commands_count
94,124,0,95.65211,12.665824,40,13,15,4,0.23544455,0.16457129,1992,2106,2137,2450,6,0,13,0,4
124,154,0,21.159843,7.725696,69,29,14,9,0.19447374,0.1641791,1001,1075,1093,1172,7,1,10,1,3
154,184,0,23.973082,8.543428,68,20,7,4,0.2114617,0.15,999,1067,1074,1111,3,0,4,1,2
184,214,0,20.379639,8.614609,60,45,10,5,0.28822225,0.13,1009,1021,1043,1135,5,0,6,0,3
214,244,0,17.97146,8.367325,43,6,8,5,0.36680016,0.29032257,24,86,95,127,4,0,7,0,1
244,274,0,18.749462,9.266223,114,32,62,9,0.26313958,0.16213366,997,1017,1047,1106,3,0,7,0,55
274,304,0,24.142952,23.566261,68,0,9,0,0.027405247,0.0,3961,3965,3976,4020,4,0,8,0,1
304,334,0,14.296603,8.597063,94,82,16,18,0.22344267,0.2195122,1009,1028,1065,1153,8,0,14,0,4
334,364,0,35.54303,10.944476,63,41,14,9,0.26808697,0.2035928,1002,1045,1081,1150,7,0,12,0,5
364,394,0,18.594698,8.99564,30,0,4,0,0.06021873,0.0,2972,2986,3000,3043,2,0,3,0,1
394,424,0,20.50074,9.193035,44,21,8,3,0.13612555,0.104575165,1491,1547,1563,1585,4,0,6,0,1
424,454,0,18.489061,7.523936,53,4,12,1,0.14798641,0.16883117,1984,2033,2048,2062,7,0,11,0,0
454,484,0,35.91859,9.321579,64,62,15,7,0.18928906,0.09090909,1987,2008,2040,2200,6,0,11,0,7
484,514,0,18.67405,7.871282,99,64,30,18,0.2934528,0.15935765,1004,1029,1048,1091,7,0,17,0,16
514,544,0,25.199339,16.761497,150,0,107,0,0.17542073,0.0,2974,2982,2986,3019,13,1,39,0,92
544,574,765001,39.6354,30.993147,40,0,11,0,0.05714286,0.0,3961,3975,3990,4030,7,0,9,0,2
574,604,0,27.52523,10.601224,57,0,11,0,0.07928822,0.0,2973,2983,2992,3070,5,0,9,0,2
604,634,0,20.146652,10.159138,98,52,20,18,0.3509605,0.1829653,28,50,70,104,7,0,15,1,6
634,664,0,21.5646,10.823696,58,21,7,4,0.2501351,0.10394337,1492,1507,1523,1573,3,0,6,0,2
664,694,0,17.448244,8.380356,65,45,13,3,0.10128982,0.06666667,1984,2003,2027,2120,9,0,10,0,3
694,724,0,20.863556,8.867152,87,41,18,19,0.4300293,0.46341464,1005,1051,1067,1095,9,0,15,0,5
724,754,566,29.44088,9.881183,37,0,6,0,0.055992387,0.0,2972,2980,2985,2998,2,0,5,0,2
754,784,0,13.460446,6.676169,90,0,10,0,0.022222223,0.0,2972,2974,2977,2981,2,0,9,0,1
784,814,0,50.699455,17.2388,49,2,5,2,0.45218349,0.16,1012,1021,1044,1121,4,0,5,0,1
814,844,0,30.262861,9.022669,41,11,12,4,0.32259542,0.24833423,1012,1056,1088,1129,6,0,11,0,3
844,874,0,28.453445,13.170212,52,3,4,2,0.16587417,0.06369427,1992,1999,2006,2044,2,0,3,0,0
874,904,0,15.524564,6.47186,88,1,6,1,0.22653846,0.046153847,2032,2034,2040,2064,4,0,4,0,1
904,934,0,15.695352,5.888259,103,24,8,5,0.07382721,0.064417176,1983,2004,2021,2050,4,1,8,0,0
934,964,0,16.838512,9.702051,21,16,5,4,0.16637631,0.14285715,1986,2035,2053,2102,3,0,4,0,0
964,994,0,24.249287,9.023861,99,60,11,12,0.32713497,0.111801244,12,64,106,168,7,0,9,0,1
994,1024,0,29.816334,11.828199,34,0,12,0,0.086647995,0.0,2973,2984,2995,3050,4,0,11,0,1
1024,1054,0,22.553465,8.500284,60,0,9,0,0.09397781,0.0,2486,2492,2501,2555,5,0,7,0,2
1054,1084,0,16.700972,9.312583,44,24,4,0,0.044493925,0.0,1983,1988,2002,2051,2,0,3,0,1
1084,1114,0,15.8842745,7.0174065,62,8,6,1,0.13190359,0.05882353,1988,2036,2045,2093,4,0,5,0,1
1114,1144,0,13.128875,8.031795,74,0,9,0,0.036380954,0.0,2972,2978,2984,3050,5,0,9,0,1
1144,1174,0,42.52939,26.326843,74,11,13,7,0.5334485,0.6363636,24,96,131,146,7,0,10,0,1
1174,1204,0,22.296835,6.83924,61,9,10,1,0.092290744,0.044554457,2478,2501,2518,2582,6,0,8,0,2
1204,1234,0,24.097496,12.711741,52,35,9,14,0.15188472,0.09929078,997,1011,1026,1069,3,0,6,0,2
1234,1264,0,20.90687,6.2165737,52,47,13,7,0.21045344,0.27380952,998,1047,1071,1204,4,0,6,0,6
1264,1294,711,23.38961,9.345426,98,0,10,0,0.020731706,0.0,3961,3963,3968,4010,5,0,7,0,2
1294,1324,0,18.58333,7.5045586,49,1,8,1,0.25637695,0.10606061,1998,2007,2027,2096,5,0,5,0,1
1324,1354,0,11.918854,8.114695,35,1,4,1,0.25939852,0.082706764,2033,2037,2040,2077,1,0,2,0,2
1354,1384,0,20.211088,9.351063,91,34,19,7,0.31592685,0.26204,532,581,622,658,6,0,10,0,9
1384,1414,0,26.834705,7.69228,56,42,3,4,0.065000005,0.029761905,1985,1991,1999,2048,1,0,2,0,0
1414,1444,0,17.056608,7.421407,79,31,12,5,0.20009235,0.16129032,24,44,77,129,5,0,8,0,3
1444,1474,0,20.19483,8.510255,19,3,4,2,0.30769232,0.1923077,1024,1063,1071,1089,3,0,3,0,1
1474,1504,0,19.090883,7.4257684,34,20,6,4,0.29111648,0.17450981,524,563,604,651,4,0,5,0,2
1504,1534,0,33.73169,8.531852,181,44,9,3,0.08116478,0.045454547,996,1047,1061,1099,2,0,6,0,2
1534,1564,0,15.059325,8.266751,29,1,2,0,0.02944659,0.0,1984,1986,1996,2007,1,0,2,0,0
1564,1594,0,17.295406,6.0097055,38,34,5,7,0.20562091,0.20588236,1012,1042,1073,1121,5,0,4,0,0
1594,1624,0,17.42756,8.888705,90,3,34,1,0.18122345,0.08643089,1998,2006,2013,2047,6,0,15,0,24
1624,1654,0,22.373997,18.918604,121,0,46,0,0.118704155,0.0,2974,2985,2994,3041,3,0,4,0,41
1654,1684,0,22.736338,7.260681,149,22,65,5,0.17095406,0.14457831,1985,2013,2020,2067,6,0,15,1,55
1684,1714,0,18.360863,14.654789,193,2,27,2,0.26221278,0.07925801,2034,2037,2038,2069,5,0,15,0,12
1714,1744,0,29.684727,11.054929,98,26,25,10,0.26758176,0.21975465,1495,1524,1551,1589,8,0,20,0,6
1744,1774,0,24.057768,12.749941,65,80,15,19,0.18998665,0.18518518,996,1027,1085,1260,7,0,10,1,5
1774,1804,0,28.461193,9.022198,12,11,4,4,0.431784,0.2857143,1031,1061,1097,1110,2,0,3,0,1
1804,1834,0,9.360679,6.418946,41,1,4,0,0.04996402,0.0,1983,1990,2005,2014,3,0,3,0,0
1834,1864,0,17.340797,8.02878,134,29,6,4,0.15975222,0.13793103,997,1024,1035,1130,3,0,5,0,1
1864,1894,0,22.296495,10.221955,67,2,14,1,0.30373678,0.24117647,1532,1557,1590,1616,5,0,10,0,5
1894,1924,0,12.987952,6.966153,114,17,19,4,0.14150609,0.0625,1985,2047,2140,2181,9,0,13,1,6
1924,1954,0,26.170612,9.622175,20,1,3,0,0.078064516,0.0,1983,2008,2027,2161,2,0,2,0,0
1954,1984,0,53.058937,9.914507,37,11,4,3,0.09943975,0.0877193,996,1025,1048,1090,3,0,4,0,0
1984,2014,0,19.439173,6.693282,46,0,6,0,0.06745738,0.0,2972,2992,3008,3026,4,0,5,0,0
2014,2044,0,25.990385,7.5893946,11,1,1,0,0.07931624,0.0,1985,2000,2036,2222,1,0,1,0,0
2044,2074,0,25.266394,8.499388,39,18,8,5,0.18755455,0.14835165,1494,1529,1548,1651,5,0,5,0,2
2074,2104,0,32.754875,7.91235,66,0,21,0,0.06325301,0.0,3961,3969,3978,3990,6,0,19,0,1
2104,2134,0,31.209713,16.179281,82,0,10,0,0.025728155,0.0,2973,2975,2976,2986,3,0,9,0,1
2134,2164,0,27.958105,8.811443,74,38,16,8,0.33392346,0.21052632,1027,1100,1108,1122,8,0,12,0,4
2164,2194,0,26.846306,8.750114,23,1,4,0,0.07986842,0.0,1984,1992,2008,2029,1,0,2,0,2
2194,2224,0,53.18999,35.578728,44,2,6,2,0.22996545,0.09327957,1509,1529,1552,1621,3,0,4,0,1
2224,2254,0,25.183266,9.118369,66,19,11,8,0.1495516,0.15023474,1985,2018,2073,2110,6,0,8,0,3
2254,2284,0,22.222042,9.609507,84,37,14,6,0.20104294,0.16913946,1004,1015,1023,1104,4,0,9,0,5
2284,2314,0,24.71157,9.315556,33,19,9,7,0.47264558,0.23595506,1023,1062,1080,1102,4,0,6,0,4
2314,2344,0,16.711077,8.062978,37,2,6,1,0.21465644,0.10630111,2004,2012,2036,2061,3,0,4,0,1
2344,2374,0,26.568306,7.717927,37,24,7,3,0.24785714,0.25,8,76,130,185,5,0,6,0,2
2374,2404,0,36.294746,8.471029,29,12,8,1,0.15334637,0.083333336,1987,2016,2038,2072,3,0,8,0,0
2404,2434,0,19.450474,6.858392,30,0,1,0,0.037549097,0.0,2972,2989,2999,3005,1,0,1,0,0
2434,2464,0,15.8875675,7.823344,73,9,12,4,0.14748713,0.121212125,1985,2010,2020,2078,6,0,9,0,3
2464,2494,0,35.119495,8.157558,40,6,7,2,0.13061713,0.064705886,2479,2501,2540,2635,4,0,6,0,1
2494,2524,0,38.01604,10.94441,5,0,1,0,0.2521739,0.0,2988,2995,3004,3016,1,0,1,0,0
2524,2554,0,36.314022,10.663047,36,0,13,0,0.15122971,0.0,2975,3003,3020,3090,6,0,12,0,2
2554,2584,0,9.771588,7.037226,39,0,3,0,0.018049315,0.0,2972,2974,2978,3005,1,0,2,0,0
2584,2614,0,5.4558344,5.138215,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
2614,2644,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
2644,2674,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
2674,2704,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
2704,2734,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
2734,2764,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
2764,2794,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
2794,2824,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
2824,2854,0,0.0,0.0,0,0,0,0,0.0,0.0,4950,4950,4950,4950,0,0,0,0,0
