time_sec,pid,package,process_group,pss,paused_time,total_time
106,1,/init,native,1833,0,0
106,394,ueventd,native,790,0,0
106,429,mqsasd,native,2598,0,0
106,430,logd,native,2744,0,0
106,440,debuggerd,native,273,0,0
106,441,debuggerd64,native,314,0,0
106,442,vold,native,1279,0,0
106,444,debuggerd64:signaller,native,294,0,0
106,445,debuggerd:signaller,native,237,0,0
106,451,perfd,native,635,0,0
106,517,healthd,native,480,0,0
106,520,rmt_storage,native,536,0,0
106,521,tftp_server,native,519,0,0
106,525,esepmdaemon,native,570,0,0
106,527,qseecomd,native,509,0,0
106,528,pm-service,native,799,0,0
106,530,lmkd,native,738,0,0
106,531,servicemanager,native,642,0,0
106,532,surfaceflinger,native,30936,0,0
106,534,gx_fpd,native,722,0,0
106,537,mm-pp-dpps,native,4187,0,0
106,538,pm-proxy,native,613,0,0
106,566,sensors.qcom,native,816,0,0
106,572,qseecomd,native,718,0,0
106,625,fingerprintd,native,4069,0,0
106,682,cnd,native,4919,0,0
106,684,cnss_diag,native,948,0,0
106,685,time_daemon,native,869,0,0
106,686,thermal-engine,native,1833,0,0
106,687,wcnss_service,native,819,0,0
106,689,adsprpcd,native,860,0,0
106,690,hvdcp_opti,native,453,0,0
106,691,zygote64,native,5031,0,0
106,692,zygote,native,9893,0,0
106,694,shelld,native,4009,0,0
106,695,otad,native,1043,0,0
106,697,fdpp,native,589,0,0
106,700,audioserver,native,13309,0,0
106,702,cameraserver,native,20083,0,0
106,703,drmserver,native,1592,0,0
106,704,installd,native,790,0,0
106,705,keystore,native,1158,0,0
106,706,media.codec,native,2369,0,0
106,707,mediadrmserver,native,1420,0,0
106,710,media.extractor,native,3476,0,0
106,711,mediaserver,native,2670,0,0
106,712,netd,native,1479,0,0
106,713,rild,native,4952,0,0
106,714,dpmd,native,497,0,0
106,715,cnss-daemon,native,912,0,0
106,731,loc_launcher,native,613,0,0
106,737,ATFWD-daemon,native,763,0,0
106,742,qseeproxydaemon,native,3986,0,0
106,743,mm-qcamera-daemon,native,35745,0,0
106,745,audiod,native,1984,0,0
106,751,mdtpd,native,1092,0,0
106,783,mtd,native,4024,0,0
106,787,vsimd,native,2625,0,0
106,788,mlipayd,native,3979,0,0
106,789,gatekeeperd,native,783,0,0
106,823,dpmd,native,591,0,0
106,824,imsqmidaemon,native,621,0,0
106,826,ipacm-diag,native,490,0,0
106,827,msm_irqbalance,native,531,0,0
106,834,ipacm,native,731,0,0
106,843,imsdatadaemon,native,883,0,0
106,851,rild,native,4760,0,0
106,862,qti,native,884,0,0
106,872,netmgrd,native,1792,0,0
106,1246,lowi-server,native,1086,0,0
106,1247,slim_daemon,native,1794,0,0
106,1649,adbd,native,834,0,0
106,1682,wpa_supplicant,native,1762,0,0
106,2507,mcd,native,1461,0,0
106,3460,iptables-restore,native,749,0,0
106,3464,ip6tables-restore,native,754,0,0
106,8101,mdnsd,native,736,0,0
106,8294,dex2oat,native,9928,0,0
106,8299,dumpsys,native,677,0,0
106,8346,com.facebook.orca,native,28408,0,0
106,8373,com.android.vending:download_service,native,23573,0,0
106,2754,com.qualcomm.qti.services.secureui:sui_service,pers,4677,0,0
106,2735,com.quicinc.wbcserviceapp,pers,4459,0,0
106,2721,com.mi.AutoTest,pers,4376,0,0
106,2703,com.xiaomi.finddevice,pers,9937,0,0
106,2690,com.fingerprints.serviceext,pers,4452,0,0
106,2667,com.xiaomi.xmsf,pers,14280,0,0
106,2647,com.miui.daemon,pers,50957,0,0
106,1952,com.android.phone,pers,17798,0,0
106,1937,.dataservices,pers,8427,0,0
106,1717,com.android.systemui,pers,63984,0,0
