time_sec,pid,package,process_group,pss,paused_time,total_time
80,1,/init,native,1913,0,0
80,396,ueventd,native,846,0,0
80,427,mqsasd,native,2637,0,0
80,428,logd,native,2540,0,0
80,437,debuggerd,native,269,0,0
80,438,debuggerd64,native,314,0,0
80,439,vold,native,1305,0,0
80,441,debuggerd64:signaller,native,294,0,0
80,442,debuggerd:signaller,native,237,0,0
80,448,perfd,native,624,0,0
80,514,healthd,native,500,0,0
80,517,rmt_storage,native,540,0,0
80,518,tftp_server,native,523,0,0
80,522,esepmdaemon,native,573,0,0
80,524,qseecomd,native,515,0,0
80,525,pm-service,native,795,0,0
80,527,lmkd,native,734,0,0
80,528,servicemanager,native,642,0,0
80,529,surfaceflinger,native,31173,0,0
80,531,gx_fpd,native,726,0,0
80,535,mm-pp-dpps,native,4174,0,0
80,536,pm-proxy,native,616,0,0
80,563,qseecomd,native,720,0,0
80,587,sensors.qcom,native,820,0,0
80,622,fingerprintd,native,4058,0,0
80,681,cnd,native,4800,0,0
80,683,cnss_diag,native,961,0,0
80,684,time_daemon,native,967,0,0
80,685,thermal-engine,native,1786,0,0
80,686,wcnss_service,native,820,0,0
80,688,adsprpcd,native,856,0,0
80,689,hvdcp_opti,native,457,0,0
80,690,zygote64,native,8056,0,0
80,691,zygote,native,11119,0,0
80,693,shelld,native,3972,0,0
80,694,otad,native,1051,0,0
80,695,fdpp,native,591,0,0
80,698,audioserver,native,11633,0,0
80,700,cameraserver,native,3392,0,0
80,701,drmserver,native,1472,0,0
80,702,installd,native,810,0,0
80,703,keystore,native,1140,0,0
80,705,media.codec,native,1643,0,0
80,706,mediadrmserver,native,1391,0,0
80,707,media.extractor,native,2063,0,0
80,710,mediaserver,native,2298,0,0
80,711,netd,native,1537,0,0
80,713,rild,native,4747,0,0
80,714,dpmd,native,468,0,0
80,715,cnss-daemon,native,913,0,0
80,716,loc_launcher,native,605,0,0
80,719,ATFWD-daemon,native,757,0,0
80,721,qseeproxydaemon,native,3974,0,0
80,722,mm-qcamera-daemon,native,23616,0,0
80,723,audiod,native,1986,0,0
80,724,mdtpd,native,1084,0,0
80,738,mtd,native,4021,0,0
80,739,vsimd,native,2604,0,0
80,755,mlipayd,native,3971,0,0
80,759,gatekeeperd,native,785,0,0
80,820,dpmd,native,463,0,0
80,833,imsqmidaemon,native,618,0,0
80,843,msm_irqbalance,native,531,0,0
80,846,imsdatadaemon,native,882,0,0
80,849,ipacm-diag,native,491,0,0
80,860,ipacm,native,711,0,0
80,883,rild,native,4619,0,0
80,893,qti,native,888,0,0
80,896,netmgrd,native,1798,0,0
80,1219,lowi-server,native,1091,0,0
80,1220,slim_daemon,native,1781,0,0
80,1667,adbd,native,867,0,0
80,1697,wpa_supplicant,native,1728,0,0
80,2416,mcd,native,1343,0,0
80,3366,iptables-restore,native,561,0,0
80,3368,ip6tables-restore,native,566,0,0
80,6532,dumpsys,native,568,0,0
80,6563,com.xiaomi.account:accountservice,native,14565,0,0
80,6597,android.process.acore,native,27278,0,0
80,6651,com.google.android.apps.tachyon,native,14014,0,0
80,6667,com.google.android.gms.unstable,native,24872,0,0
80,2675,com.qualcomm.qti.services.secureui:sui_service,pers,4776,0,0
80,2661,com.quicinc.wbcserviceapp,pers,4538,0,0
80,2645,com.mi.AutoTest,pers,4492,0,0
80,2620,com.xiaomi.finddevice,pers,9730,0,0
80,2605,com.fingerprints.serviceext,pers,4583,0,0
80,2588,com.xiaomi.xmsf,pers,12710,0,0
80,2578,com.miui.daemon,pers,26274,0,0
80,2023,com.android.phone,pers,17506,0,0
80,2006,.dataservices,pers,6594,0,0
80,1732,com.android.systemui,pers,60253,2.922,192.555
80,1518,system,pers,181685,5.5435,211.3895
80,4994,com.reflectlyApp,fore,199236,8.01,141.1825
80,1967,com.google.android.gms.persistent,fore,49533,1.339,169.495
80,3049,com.google.android.gms,fore,39125,7.97,173.146
80,6452,com.google.android.apps.photos,fore,16309,0,0
80,6224,com.google.android.apps.maps,fore,43471,0,0
80,2507,com.miui.securitycenter.remote,fore,40158,0,0
80,3807,com.android.vending,vis,58010,22.109001,180.99649
80,4093,com.touchtype.swiftkey,vis,60035,0,0
80,6352,com.google.android.apps.docs,vis,33476,0,0
80,6096,com.miui.cloudservice,vis,12930,0,0
80,5767,com.xiaomi.joyose,vis,10781,0,0
80,3153,com.miui.analytics,vis,7007,0,0
80,2780,com.android.smspush,vis,4509,0,0
80,2563,com.google.android.googlequicksearchbox:interactor,vis,26802,0,0
80,2408,com.google.android.ext.services,vis,4684,0,0
80,2186,com.qualcomm.qcrilmsgtunnel,vis,5489,0,0
80,3342,com.lbe.security.miui,percept,10404,0,0
80,2906,com.xiaomi.location.fused,percept,5543,0,0
80,5689,com.android.chrome,backup,59188,0,0
80,2485,com.android.deskclock,backup,7847,0,0
80,5218,com.facebook.services,servicea,6879,0,0
80,6207,com.facebook.appmanager,servicea,11983,0,0
80,1866,com.android.settings:remote,servicea,9780,0,0
80,2052,com.miui.home,home,47940,0,0
80,5715,com.mgmresorts.mgmresorts,prev,115127,2.29,136.66699
80,5557,com.spotlightsix.zentimerlite2,prev,148578,0,0
80,2712,com.google.process.gapps,prev,7099,0,0
80,3695,com.miui.powerkeeper,serviceb,17920,0,0
80,2741,android.process.media,serviceb,12376,0,0
80,5384,com.ebay.motorsapp,cached,80741,0,0
80,5184,com.hamilton.app,cached,75439,0,0
80,1717,com.google.android.inputmethod.latin,cached,29066,0,0
